,GPH_code,NAME_x,continent,wikidata,wikidata_alt1,wikidata_alt2,wikidata_alt3,notes,NAME_y,start_year,end_year,GPH_status,sovereign_GPH_code,SovereignGPH_code
0,530.0,Ethiopia (Abyssinia),Africa,http://www.wikidata.org/entity/Q115,,,,,Abyssinia,1898.0,1936.0,Sovereign,530.0,530.0
1,681.0,Aden,Asia,http://www.wikidata.org/entity/Q131694,,,,,Aden,1838.0,1962.0,Colony of,200.0,
2,700.0,Afghanistan,Asia,http://www.wikidata.org/entity/Q889,,,,,Afghanistan,1879.0,1919.0,Protectorate of,200.0,
3,339.0,Albania,Europe,http://www.wikidata.org/entity/Q222,,,,,Albania,1912.0,1939.0,Sovereign,339.0,339.0
4,232.0,Andorra,Europe,http://www.wikidata.org/entity/Q228,,,,,Andorra,1816.0,1993.0,Sovereign (unrecognized),232.0,232.0
5,625.0,North Sudan (Sudan) (Anglo-Egyptian),Africa,http://www.wikidata.org/entity/Q541455,http://www.wikidata.org/entity/Q1049,,,,Anglo-Egyptian Sudan,1898.0,1956.0,Colony of,200.0,
6,1062.0,Anguilla,America,http://www.wikidata.org/entity/Q25228,,,,,Anguilla,1882.0,1969.0,Part of,60.0,
7,,,,,,,,,Antarctica,,,,,
8,,,,,,,,,Egypt,,,Sovereign,,
9,,,,,,,,,German New Guinea,1884.0,1914.0,Colony of,255.0,
10,,,,,,,,,Guernsey,,,Part of,200.0,
11,,,,,,,,,Howland Island,,,Colony of,2.0,
12,,,,,,,,,Isle of Man,,,,,
13,,,,,,,,,Jersey,,,Part of,200.0,
14,,,,,,,,,Luxembourg,,,Sovereign,,
15,,,,,,,,,Nigeria,,,Colony of,200.0,
16,,,,,,,,,Rhodesia,,,Colony of,200.0,
17,670.0,Saudi Arabia (Emirate of Nejd),Asia,http://www.wikidata.org/entity/Q851,,,,,Arabia,1902.0,1927.0,Sovereign (unrecognized),670.0,670.0
18,160.0,Argentina,America,http://www.wikidata.org/entity/Q414,,,,,Argentina,1816.0,2020.0,Sovereign,160.0,160.0
19,1069.0,Aruba,America,http://www.wikidata.org/entity/Q21203,,,,,Aruba,1828.0,1986.0,Part of,68.0,
20,4070.0,Ascension I.,Africa,http://www.wikidata.org/entity/Q46197,,,,,Ascension Island,1816.0,1922.0,Possession of,200.0,
21,900.0,Australia,Oceania,http://www.wikidata.org/entity/Q408,,,,,Australia,1901.0,1919.0,Colony of,200.0,
22,300.0,Austria-Hungary,Europe,http://www.wikidata.org/entity/Q28513,,,,,Austria - Hungary ,1867.0,1918.0,Sovereign,300.0,300.0
23,400.0,Azores (Western Isles),Africa,http://www.wikidata.org/entity/Q25263,,,,,Azores,1831.0,1976.0,Part of,235.0,
24,31.0,Bahamas,America,http://www.wikidata.org/entity/Q778,,,,,Bahamas,1816.0,1973.0,Colony of,200.0,
25,9771.0,Baker I.,Oceania,http://www.wikidata.org/entity/Q46879,,,,,Baker Island,1886.0,1935.0,Claimed by,200.0,
26,53.0,Barbados,America,http://www.wikidata.org/entity/Q244,,,,,Barbados,1885.0,1958.0,Colony of,200.0,
27,571.0,Botswana (Bechuanaland),Africa,http://www.wikidata.org/entity/Q963,,,,,Bechuanaland,1885.0,1966.0,Protectorate of,200.0,
28,490.0,Democratic Republic of the Congo (Zaire) (Kinshasa) (Belgian Congo) (Congo Free State),Africa,http://www.wikidata.org/entity/Q974,,,,,Belgian Congo ,1908.0,1960.0,Colony of,211.0,
29,211.0,Belgium,Europe,http://www.wikidata.org/entity/Q31,,,,,Belgium,1830.0,1940.0,Sovereign,211.0,211.0
30,30.0,Bermuda,America,http://www.wikidata.org/entity/Q23635,,,,,Bermuda,1816.0,2020.0,Colony of,200.0,
31,760.0,Bhutan,Asia,http://www.wikidata.org/entity/Q917,,,,,Bhutan,1865.0,1949.0,Protectorate of,200.0,
32,145.0,Bolivia,America,http://www.wikidata.org/entity/Q750,,,,,Bolivia,1839.0,2020.0,Sovereign,145.0,145.0
33,1066.0,Bonaire,America,http://www.wikidata.org/entity/Q25396,,,,,Bonaire,1828.0,2010.0,Part of,68.0,
34,9993.0,Bouvet I.,Oceania,http://www.wikidata.org/entity/Q23408,,,,,Bouvet Island,1816.0,1927.0,Discovered,9993.0,9993.0
35,140.0,Brazil,America,http://www.wikidata.org/entity/Q155,,,,,Brazil,1822.0,2020.0,Sovereign,140.0,140.0
36,775.0,Myanmar (Burma),Asia,http://www.wikidata.org/entity/Q836,,,,,British Burma,1886.0,1937.0,Part of,750.0,
37,501.0,Kenya (British East Africa Protectorate),Africa,http://www.wikidata.org/entity/Q876185,http://www.wikidata.org/entity/Q114,,,,British East Africa,1895.0,1920.0,Protectorate of,200.0,
38,110.0,Guyana (Br. Guiana),America,http://www.wikidata.org/entity/Q734,,,,,British Guyana,1831.0,1966.0,Colony of,200.0,
39,80.0,Belize (British Honduras),America,http://www.wikidata.org/entity/Q242,,,,,British Honduras,1884.0,1981.0,Colony of,200.0,
40,821.0,Federated Malay States,Asia,http://www.wikidata.org/entity/Q1400154,,,,,British Malaya,1896.0,1942.0,Colony of,200.0,
41,521.0,Somaliland Republic (British Somaliland),Africa,http://www.wikidata.org/entity/Q34754,,,,,British Somaliland,1884.0,1940.0,Protectorate of,200.0,
42,5.0,Virgin Islands,America,http://www.wikidata.org/entity/Q11703,,,,,British Virgin Islands,1816.0,1917.0,Colony of,390.0,
43,5.0,Virgin Islands,America,http://www.wikidata.org/entity/Q11703,,,,,St. Thomas Island,1816.0,1917.0,Colony of,390.0,
44,5.0,Virgin Islands,America,http://www.wikidata.org/entity/Q11703,,,,,US Virgin Islands,1816.0,1917.0,Colony of,390.0,
45,355.0,Bulgaria,Europe,http://www.wikidata.org/entity/Q219,,,,,Bulgaria,1908.0,2020.0,Sovereign,355.0,355.0
46,402.0,Cape Verde,Africa,http://www.wikidata.org/entity/Q1011,,,,,Cabo Verde,1816.0,1975.0,Colony of,235.0,
47,470.0,Kamerun,Africa,http://www.wikidata.org/entity/Q668294,,,,,Cameroons,1884.0,1916.0,Colony of,255.0,
48,410.0,Canary Island,Africa,http://www.wikidata.org/entity/Q5813,,,,,Canary Island,1821.0,2020.0,Part of,230.0,
49,9466.0,Caroline I.,Oceania,http://www.wikidata.org/entity/Q822151,,,,,Caroline Islands,1868.0,1979.0,Claimed by,200.0,
50,1033.0,Cayman Island,America,http://www.wikidata.org/entity/Q5785,,,,,Cayman Islands,1816.0,1962.0,Part of,51.0,
51,780.0,Sri Lanka (Ceylon),Asia,http://www.wikidata.org/entity/Q854,,,,,Ceylon,1833.0,1948.0,Colony of,200.0,
52,5920.0,British Indian Ocean Territory (Chagos Archipelago),Africa,http://www.wikidata.org/entity/Q43448,,,,,Chagos Islands,1816.0,1965.0,Part of,590.0,
53,155.0,Chile,America,http://www.wikidata.org/entity/Q298,,,,,Chile,1818.0,2020.0,Sovereign,155.0,155.0
54,710.0,People's Republic of China (China),Asia,http://www.wikidata.org/entity/Q148,,,,,China,1860.0,2020.0,Sovereign,710.0,710.0
55,730.0,Korea (Chosen),Asia,http://www.wikidata.org/entity/Q28179,http://www.wikidata.org/entity/Q503585,,,,Chosen (Korea),1910.0,1945.0,Colony of,740.0,
56,9001.0,Christmas I.,Oceania,http://www.wikidata.org/entity/Q31063,,,,,Christmas Island,1889.0,1942.0,Part of,827.0,
57,9002.0,Cocos (Keeling) Is.,Oceania,http://www.wikidata.org/entity/Q36004,,,,,Cocos Islands,1882.0,1942.0,Part of,9002.0,9002.0
58,100.0,Colombia (Gran Colombia),America,http://www.wikidata.org/entity/Q739,,,,,Colombia,1831.0,2020.0,Sovereign,100.0,100.0
59,581.0,Comoros,Africa,http://www.wikidata.org/entity/Q970,,,,,Comoros,1912.0,1946.0,Part of,580.0,
60,925.0,Cook Is.,Oceania,http://www.wikidata.org/entity/Q26988,,,,,Cook Islands,1901.0,1965.0,Colony of,920.0,
61,94.0,Costa Rica,America,http://www.wikidata.org/entity/Q800,,,,,Costa Rica,1838.0,2020.0,Sovereign,94.0,94.0
62,40.0,Cuba,America,http://www.wikidata.org/entity/Q241,,,,,Cuba,1906.0,2020.0,Sovereign,40.0,40.0
63,1065.0,Curacao,America,http://www.wikidata.org/entity/Q25279,,,,,Curacao,1828.0,2010.0,Part of,68.0,
64,3521.0,UN Buffer Zone in Cyprus,Europe,http://www.wikidata.org/entity/Q116970,,,,,Cyprus,1878.0,1974.0,Part of,352.0,
65,390.0,Denmark,Europe,http://www.wikidata.org/entity/Q35,,,,,Denmark,1816.0,1940.0,Sovereign,390.0,390.0
66,54.0,Dominica,America,http://www.wikidata.org/entity/Q784,,,,,Dominica,1871.0,1940.0,Part of,1063.0,
67,42.0,Dominican Republic (Santo Domingo),America,http://www.wikidata.org/entity/Q786,,,,,Dominican Republic,1865.0,1916.0,Sovereign,42.0,42.0
68,20.0,Canada (Province of Canada),America,http://www.wikidata.org/entity/Q16,,,,,Dominion of Canada,1841.0,1920.0,Colony of,200.0,
69,850.0,Indonesia (Dutch East Indies),Asia,http://www.wikidata.org/entity/Q188161,,,,,Dutch East Indies,1816.0,1949.0,Colony of,210.0,
70,851.0,West Irian (Dutch New Guinea),Asia,http://www.wikidata.org/entity/Q941881,,,,,Dutch Guiana,1828.0,1942.0,Part of,850.0,
71,130.0,Ecuador,America,http://www.wikidata.org/entity/Q736,,,,,Ecuador,1830.0,2020.0,Sovereign,130.0,130.0
72,92.0,El Salvador,America,http://www.wikidata.org/entity/Q792,,,,,El Salvador,1841.0,2020.0,Sovereign,92.0,92.0
73,945.0,Gilbert and Ellice Is.,Oceania,http://www.wikidata.org/entity/Q1050859,,,,,Ellice Island,1892.0,1916.0,Protectorate of,200.0,
74,945.0,Gilbert and Ellice Is.,Oceania,http://www.wikidata.org/entity/Q1050859,,,,,Gilbert Islands,1892.0,1916.0,Protectorate of,200.0,
75,531.0,Eritrea,Africa,http://www.wikidata.org/entity/Q986,,,,,Eritrea,1882.0,1936.0,Colony of,325.0,
76,1163.0,Falkland Is.,America,http://www.wikidata.org/entity/Q9648,,,,,Falkland Islands,1833.0,2020.0,Colony of,200.0,
77,11.0,Faeroe Is.,America,http://www.wikidata.org/entity/Q4628,,,,,Faroe Islands,1816.0,1947.0,Colony of,390.0,
78,950.0,Fiji,Oceania,http://www.wikidata.org/entity/Q712,,,,,Fiji,1874.0,1970.0,Colony of,200.0,
79,375.0,Finland,Europe,http://www.wikidata.org/entity/Q33,,,,,Finland,1816.0,1917.0,Part of,365.0,
80,713.0,Republic of China (Taiwan) (Formosa),Asia,http://www.wikidata.org/entity/Q865,,,,,Formosa (Japan),1895.0,1945.0,Colony of,740.0,
81,220.0,France,Europe,http://www.wikidata.org/entity/Q142,,http://www.wikidata.org/entity/Q899706,,,France,1816.0,1942.0,Sovereign,220.0,220.0
82,480.0,French Equatorial Africa,Africa,http://www.wikidata.org/entity/Q271894,,,,,French equatorial Africa,1910.0,1958.0,Colony of,220.0,
83,120.0,French Guyana,America,http://www.wikidata.org/entity/Q3769,,,,,French Guiana,1817.0,1947.0,Colony of,220.0,
84,438.0,Guinea (French Guinea) (Rivieres du Sud),Africa,http://www.wikidata.org/entity/Q4394393,http://www.wikidata.org/entity/Q797433,http://www.wikidata.org/entity/Q1006,,,French Guinea,1895.0,1958.0,Part of,430.0,
85,810.0,French Indochina,Asia,http://www.wikidata.org/entity/Q185682,,,,,French Indo China,1887.0,1941.0,Colony of,220.0,
86,522.0,Djibouti (Afar and Issas) (French Somaliland),Africa,http://www.wikidata.org/entity/Q977,,,,,French Somaliland,1884.0,1977.0,Colony of,220.0,
87,960.0,French Polynesia,Oceania,http://www.wikidata.org/entity/Q30971,,,,,French Southern Territories,1903.0,2020.0,Colony of,220.0,
88,432.0,Mali (French Sudan) (Upper Senegal and Niger),Africa,http://www.wikidata.org/entity/Q1271523,http://www.wikidata.org/entity/Q508014,http://www.wikidata.org/entity/Q912,,,French Sudan,1895.0,1958.0,Part of,220.0,
89,510.0,Tanzania (Tanganyika) (German East Africa),Africa,http://www.wikidata.org/entity/Q153963,http://www.wikidata.org/entity/Q431731,http://www.wikidata.org/entity/Q924,,,German East Africa,1891.0,1916.0,Colony of,255.0,
90,565.0,Namibia (South West Africa) (German West Africa),Africa,http://www.wikidata.org/entity/Q639691,http://www.wikidata.org/entity/Q953068,http://www.wikidata.org/entity/Q1030,,,German Samoa Island ,1885.0,1915.0,Colony of,255.0,
91,565.0,Namibia (South West Africa) (German West Africa),Africa,http://www.wikidata.org/entity/Q639691,http://www.wikidata.org/entity/Q953068,http://www.wikidata.org/entity/Q1030,,,German South west Africa,1885.0,1915.0,Colony of,255.0,
92,565.0,Namibia (South West Africa) (German West Africa),Africa,http://www.wikidata.org/entity/Q639691,http://www.wikidata.org/entity/Q953068,http://www.wikidata.org/entity/Q1030,,,Marshall Islands,1885.0,1915.0,Colony of,255.0,
93,565.0,Namibia (South West Africa) (German West Africa),Africa,http://www.wikidata.org/entity/Q639691,http://www.wikidata.org/entity/Q953068,http://www.wikidata.org/entity/Q1030,,,Nauru,1885.0,1915.0,Colony of,255.0,
94,255.0,Germany,Europe,http://www.wikidata.org/entity/Q183,,,,,Germany,1871.0,1945.0,Sovereign,255.0,255.0
95,231.0,Gibraltar,Europe,http://www.wikidata.org/entity/Q1410,,,,,Gibraltar,1816.0,2020.0,Colony of,200.0,
96,5808.0,Glorioso I.,Africa,http://www.wikidata.org/entity/Q236601,,,,,Glorioso Islands,1892.0,2020.0,Possession of,220.0,
97,452.0,Ghana (Gold Coast),Africa,http://www.wikidata.org/entity/Q117,,,,,Gold Coast,1874.0,1957.0,Colony of,200.0,
98,350.0,Greece,Europe,http://www.wikidata.org/entity/Q41,,,,,Greece,1830.0,1941.0,Sovereign,350.0,350.0
