,NAME,Q_code,latitude_GPH,longitude_GPH,IREL_url,latitude_IREL,longitude_IREL
0,Annam,Q10828323,,,,,
1,Bizerte,Q189546,37.274444444444,9.8738888888889,,,
2,Cuba,Q241,22.0,-79.5,,,
3,France,Q142,47.0,2.0,,,
4,Gabon,Q1000,-0.68333055555556,11.5,,,
5,Gibraltar,Q1410,36.13775,-5.3453611111111,,,
6,Loango,Q1479630,-4.7106,11.8378,,,
7,Milan,Q490,45.466944444444,9.19,,,
8,Tonkin,Q1858,21.0245,105.84117,,,
9,Zanzibar,Q1774,-6.1333333333333,39.316666666667,,,
10,Anjouan,Q231324,-12.215,44.425,,,
11,Guadeloupe,Q17012,16.25,-61.583333333333,,,
12,Lagos,Q8673,6.45,3.4,,,
13,Laos,Q819,18.2,104.0,,,
14,Martinique,Q17054,14.666666666667,-61.0,,,
15,Mayotte,Q17063,-12.843055555556,45.138333333333,,,
16,Niger,Q1032,17.0,10.0,,,
17,Philippines,Q928,12.0,123.0,,,
18,Samoa,Q683,-14.0,-172.0,,,
19,Tagant,Q843903,18.7,-10.2,,,
20,Tahiti,Q42000,-17.666666666667,-149.46666666667,,,
21,Yunnan,Q43194,24.5,101.5,,,
22,Zinder,Q204365,13.8,8.9833333333333,,,
23,,,,,httpNone,,
24,,,,,httpNone,,
25,,,,,httpNone,,
26,,,,,httpNone,,
27,,,,,httpNone,,
28,,,,,httpNone,,
29,,,,,httpNone,,
30,,,,,httpNone,,
31,,,,,httpNone,,
32,,,,,httpNone,,
33,,,,,httpNone,,
34,,,,,httpNone,,
35,,,,,httpNone,,
36,,,,,httpNone,,
37,,,,,httpNone,,
38,,,,,httpNone,,
39,,,,,httpNone,,
40,,,,,httpNone,,
41,,,,,httpNone,,
42,,,,,httpNone,,
43,,,,,httpNone,,
44,,,,,httpNone,,
45,,,,,httpNone,,
46,,,,,httpNone,,
47,,,,,httpNone,,
48,Afrique du Nord,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Afrique%20du%20NordR%C3%A9gion%20g%C3%A9ographique,,
49,Afrique du Nord,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Afrique%20du%20NordR%C3%A9gion%20g%C3%A9ographique,,
50,Abbo ,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Abbo%20%28Alg%C3%A9rie%29,36.8558,3.8567
51,Achkarren ,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Achkarren%20%28Allemagne%29,48.0675,7.6252
52,Amérique centrale',,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Am%C3%A9rique%20centrale,,
53,Anguille,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Anguille%C3%8Ele%20%28Antilles%29,,
54,Baoulé,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Baoul%C3%A9Cours%20d%5Ceau%20%28C%C3%B4te%20d%5CIvoire/Mali%29,,
55,Battambang/Phnom Penh,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Battambang/Phnom%20PenhVoie%20ferr%C3%A9e%20%28Cambodge%29,,
56,Bordeaux ,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bordeaux%20%28Gironde%20%3B%20France%29,44.8333,-0.5667
57,Esboz-Brest ,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Esboz-Brest%20%28Haute-Sa%C3%B4ne%20%3B%20France%29,47.8069,6.4528
58,Bretagne,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bretagne%C3%89tang%20de%20%28Saint-Martin%C3%AEle%29,,
59,Angkor,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=AngkorProvince%20%28Cambodge%29,,
60,Poulo Canton,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Poulo%20Canton%C3%8Ele%20%28Vietnam%29,,
61,Casablanca ,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Casablanca%20%28Maroc%29,33.5739,-7.6013
62,Cayenne/Inini,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Cayenne/IniniVoie%20ferr%C3%A9e%20%28Guyane%20fran%C3%A7aise%29,,
63,Gondolpara,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=GondolparaQuartier%20%28Chandernagor%20%3B%20Inde%29,,
64,Ami Tcheou ,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Ami%20Tcheou%20%28Chine%29,23.7140,103.2682
65,Conakry/Kankan,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Conakry/KankanVoie%20ferr%C3%A9e%20%28Guin%C3%A9e%29,,
66,Aïna,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFnaCours%20d%5Ceau%20%28Gabon/R%C3%A9publique%20du%20Congo%29,,
67,Aïn Sultan ,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=A%C3%AFn%20Sultan%20%28Constantine%20%3B%20Alg%C3%A9rie%29,36.1333,4.7333
68,Aregno ,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Aregno%20%28Haute-Corse%20%3B%20France%29,42.5818,8.8952
69,Crète,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Cr%C3%A8te%C3%8Ele%20de,,
70,Dakar-Thiès,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Dakar-Thi%C3%A8sCercle%20%28S%C3%A9n%C3%A9gal%29,,
71,Abhe Bad ,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Abhe%20Bad%20%28Djibouti%29,11.5385,41.6665
72,Dori,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=DoriCercle%20%28Burkina%20Faso%29,,
73,Benelux,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=BeneluxR%C3%A9gion%20g%C3%A9ographique%20%28Europe%29,,
74,Grand-Bassam,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Grand-BassamLagune%20de%20%28C%C3%B4te%20d%5CIvoire%29,,
75,Athina ,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Athina%20%28Gr%C3%A8ce%29,37.9833,23.7333
76,Annobon,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Annobon%C3%8Ele%20d%5C%20%28Guin%C3%A9e%20%C3%A9quatoriale%29,,
77,Acarouany ,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Acarouany%20%28Guyane%20fran%C3%A7aise%29,5.5922,-53.8123
78,Acarouany ,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Acarouany%20%28Guyane%20fran%C3%A7aise%29,5.5922,-53.8123
79,Haiphong/Hanoi,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Haiphong/HanoiVoie%20ferr%C3%A9e%20%28Vietnam%29,,
80,Hué/Tourane,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Hu%C3%A9/TouraneVoie%20ferr%C3%A9e%20%28Vietnam%29,,
81,Allancoupom ,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Allancoupom%20%28Inde%29,12.0213,79.7984
82,Japon',,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Japon,36.0570,138.0970
83,Kampot,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=KampotProvince%20%28Cambodge%29,,
84,Kati ,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Kati%20%28Mali%29,12.7430,-8.0737
85,Bafoulabé/Kayes,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bafoulab%C3%A9/KayesVoie%20ferr%C3%A9e%20%28Mali%29,,
86,Labé,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Lab%C3%A9Cercle%20%28Guin%C3%A9e%29,,
87,Lorient ,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Lorient%20%28Saint-Barth%C3%A9lemy%C3%8Ele%29,,
88,Agadir ,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Agadir%20%28Maroc%29,30.4170,-9.6000
89,Adrar,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=AdrarCercle%20%28Mauritanie%29,,
90,Cabo Catoche ,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Cabo%20Catoche%20%28Mexique%29,21.6047,-87.1032
91,Chiens,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Chiens%C3%8Ele%20aux%20%28Saint-Pierre-et-MiquelonArchipel%20de%29,,
92,Méditerranée,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=M%C3%A9diterran%C3%A9eR%C3%A9gion%20g%C3%A9ographique,,
93,Nice ,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Nice%20%28Alpes-Maritimes%20%3B%20France%29,43.7016,7.2705
94,Nioro du Rip ,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Nioro%20du%20Rip%20%28S%C3%A9n%C3%A9gal%29,13.7448,-15.7739
95,Brun,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Brun%C3%8Elot%20%28Noum%C3%A9a%20%3B%20Nouvelle-Cal%C3%A9donie%C3%8Ele%20de%20la%29,,
96,Bas Ogooué,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bas%20Ogoou%C3%A9R%C3%A9gion%20g%C3%A9ographique%20%28Gabon%29,,
97,Haut Oubangui,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Haut%20OubanguiR%C3%A9gion%20g%C3%A9ographique%20%28R%C3%A9publique%20centrafricaine%29,,
98,Montmartre ,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Montmartre%20%28Paris%20%3B%20France%29,48.8860,2.3430
99,Gondelour/Pondichéry,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Gondelour/Pondich%C3%A9ryVoie%20ferr%C3%A9e%20%28Inde%29,,
100,Philisbourg,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=PhilisbourgHabitation%20%28Port-Louis%20%3B%20Guadeloupe%C3%8Ele%20de%20la%29,,
101,Cotonou/Porto-Novo,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Cotonou/Porto-NovoRoute%20%28B%C3%A9nin%29,,
102,Portsmouth ,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Portsmouth%20%28Royaume-Uni%29,50.8167,-1.1167
103,Champ-Borne ,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Champ-Borne%20%28Saint-Andr%C3%A9%20%3B%20R%C3%A9union%C3%8Ele%20de%20la%29,,
104,Can Tho/Saigon,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Can%20Tho/SaigonVoie%20ferr%C3%A9e%20%28Vietnam%29,,
105,Saint-Brieuc-des-Iffs ,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Saint-Brieuc-des-Iffs%20%28Ille-et-Vilaine%20%3B%20France%29,48.2919,-1.8500
106,Dakar/Saint-Louis,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Dakar/Saint-LouisRoute%20%28S%C3%A9n%C3%A9gal%29,,
107,Saint-Philippe,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Saint-PhilippeCours%20d%5Ceau%20%28%C3%89tats-Unis%29,,
108,Az Zaghawah,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Az%20ZaghawahR%C3%A9gion%20g%C3%A9ographique%20%28Soudan%29,,
109,Achem ,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Achem%20%28Sumatra%C3%8Ele%20de%29,,
110,Almadies,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=AlmadiesPointe%20des%20%28S%C3%A9n%C3%A9gal%29,,
111,Abéché ,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Ab%C3%A9ch%C3%A9%20%28Tchad%29,13.8300,20.8305
112,Afanyan Bléta ,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Afanyan%20Bl%C3%A9ta%20%28Togo%29,6.5000,1.6167
113,Tombouctou,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=TombouctouCercle%20%28Mali%29,,
114,Toulon-sur-Allier ,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Toulon-sur-Allier%20%28Allier%20%3B%20France%29,46.5186,3.3600
115,Dong Ha/Vinh,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Dong%20Ha/VinhVoie%20ferr%C3%A9e%20%28Vietnam%29,,
116,Wallis-et-Futuna,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Wallis-et-Futuna%C3%8Eles,,
